project_name,algorithm,file_id,f1,G,MCC
camel-1.2,ibea,camel-1.2_exp_76_train,0.392592593,0.573861882,0.283139647
camel-1.2,ibea,camel-1.2_exp_77_train,0.375545852,0.528987097,0.30306873
camel-1.2,ibea,camel-1.2_exp_78_train,0.306930693,0.454034286,0.268180635
camel-1.2,ibea,camel-1.2_exp_79_train,0.405315615,0.60474495,0.281743454
camel-1.2,ibea,camel-1.2_exp_7_train,0.455555556,0.679749571,0.330494573
camel-1.2,ibea,camel-1.2_exp_80_train,0.372093023,0.57713389,0.241562849
camel-1.2,ibea,camel-1.2_exp_81_train,0.386308068,0.637326508,0.23530437
camel-1.2,ibea,camel-1.2_exp_82_train,0.278350515,0.424937672,0.252130991
camel-1.2,ibea,camel-1.2_exp_83_train,0.407506702,0.643857134,0.266952176
camel-1.2,ibea,camel-1.2_exp_84_train,0.415929204,0.677008747,0.276975906
camel-1.2,ibea,camel-1.2_exp_85_train,0.365758755,0.543283752,0.261217875
camel-1.2,ibea,camel-1.2_exp_86_train,0.420731707,0.633437217,0.291728759
camel-1.2,ibea,camel-1.2_exp_87_train,0.394444444,0.626631533,0.251888509
camel-1.2,ibea,camel-1.2_exp_88_train,0.428571429,0.598746497,0.328578147
camel-1.2,ibea,camel-1.2_exp_89_train,0.415204678,0.636231553,0.281657009
camel-1.2,ibea,camel-1.2_exp_8_train,0.358208955,0.544870393,0.243751003
camel-1.2,ibea,camel-1.2_exp_90_train,0.28,0.431198091,0.238882673
camel-1.2,ibea,camel-1.2_exp_91_train,0.39862543,0.592943373,0.278189035
camel-1.2,ibea,camel-1.2_exp_92_train,0.426751592,0.630269373,0.303089449
camel-1.2,ibea,camel-1.2_exp_93_train,0.379562044,0.566248603,0.265019267
camel-1.2,ibea,camel-1.2_exp_94_train,0.3671875,0.543693933,0.263756046
camel-1.2,ibea,camel-1.2_exp_95_train,0.313131313,0.455327833,0.28601087
camel-1.2,ibea,camel-1.2_exp_96_train,0.35971223,0.552683793,0.23887738
camel-1.2,ibea,camel-1.2_exp_97_train,0.441281139,0.619728157,0.334342286
camel-1.2,ibea,camel-1.2_exp_98_train,0.418410042,0.684561181,0.282910671
camel-1.2,ibea,camel-1.2_exp_99_train,0.3984375,0.568063386,0.300719407
camel-1.2,ibea,camel-1.2_exp_9_train,0.440789474,0.635291519,0.323540198
camel-1.4,ibea,camel-1.4_exp_0_train,0.4,0.614746181,0.213953948
camel-1.4,ibea,camel-1.4_exp_10_train,0.144927536,0.281738334,0.212781668
camel-1.4,ibea,camel-1.4_exp_11_train,0.341296928,0.497123355,0.24823551
camel-1.4,ibea,camel-1.4_exp_12_train,0.331395349,0.514354852,0.189111651
camel-1.4,ibea,camel-1.4_exp_13_train,0.291814947,0.451098619,0.202875492
camel-1.4,ibea,camel-1.4_exp_14_train,0.237288136,0.380923285,0.224430183
camel-1.4,ibea,camel-1.4_exp_15_train,0.315789474,0.482674441,0.204364979
camel-1.4,ibea,camel-1.4_exp_16_train,0.411940299,0.639578796,0.230756462
camel-1.4,ibea,camel-1.4_exp_17_train,0.227074236,0.368277109,0.233658938
camel-1.4,ibea,camel-1.4_exp_18_train,0.173515982,0.315440959,0.192313349
camel-1.4,ibea,camel-1.4_exp_19_train,0.324723247,0.471481965,0.25970395
camel-1.4,ibea,camel-1.4_exp_1_train,0.368131868,0.553523672,0.221640459
camel-1.4,ibea,camel-1.4_exp_20_train,0.320261438,0.487332342,0.207739404
